program_id,program,title,institution,URL,degree_type,degree_level,year_founded,courses_total,credits_total,courses_required,courses_electives,courses_electives_offerings,deliverable,fieldwork_required,independent_research_required,institution_location_name,institution_location_type,country,lat,long
1,"Minor (undergraduate) in Digital Humanities, Australian National University",Digital humanities,Australian National University,http://cdhr.anu.edu.au/new-digital-humanities-minor,Minor (undergraduate),Undergraduate,1905,4,24,2,2,8,None specified,None specified,None specified,humanities and the arts,School,Australia,-35.2777,149.118527
2,"Minor (undergraduate) in Digital Humanities & Technology, Brigham Young University",Digital humanities,Brigham Young University,http://dight.byu.edu/,Minor (undergraduate),Undergraduate,2013,6,18,1,5,13,None specified,None specified,Yes,humanities,College,United States,40.251843,-111.649316
3,"Minor (undergraduate) in Interactive Arts and Science, Brock University",Interactive Arts and Science,Brock University,http://www.brocku.ca/humanities/departments-and-centres/digital-humanities/programs/iasc,Minor (undergraduate),Undergraduate,2006,,5,,,60,None specified,None specified,None specified,digital humanities,Center,Canada,43.117573,-79.247692
4,"BA in Interactive Arts and Science, Brock University",Interactive Arts and Science,Brock University,http://www.brocku.ca/humanities/departments-and-centres/digital-humanities/programs/iasc,BA,Undergraduate,2006,,15,,,60,None specified,None specified,None specified,digital humanities,Center,Canada,43.117573,-79.247692
5,"MA in Digital Humanities (Collaborative Master's), Carleton University",Digital Humanities,Carleton University,http://graduate.carleton.ca/programs/digital-humanities-collaborative-masters/,MA,Graduate,2013,,4,2,,5,Thesis,None specified,Yes,"Comparative Studies in Literature, Art and Culture",Department,Canada,45.387586,-75.696037
6,"MA (program track) in Digital Humanities, CUNY Graduate Center",Digital Humanities,CUNY Graduate Center,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Masters-Programs/Liberal-Studies/Program-tracks/Digital-Humanities,MA (program track),Graduate,2010,10,30,4,6,,Thesis,None specified,Yes,liberal studies,Department,United States,40.748449,-73.983492
7,"Minor (undergraduate) in Digital Humanities, Farleigh Dickinson University",Digital Humanities,Farleigh Dickinson University,http://view2.fdu.edu/academics/university-college/university-college-minors/digital-humanities/,Minor (undergraduate),Undergraduate,2012,6,18,0,6,22,None specified,None specified,None specified,minors,Department,United States,40.897793,-74.030864
8,"BS in Digital Humanities, Illinois Institute of Technology",Digital Humanities,Illinois Institute of Technology,http://humansciences.iit.edu/humanities/programs/undergraduate-programs/bachelor-science-digital-humanities,BS,Undergraduate,2012,15,47,6,9,,None specified,Yes,Yes,human sciences,College,United States,41.834873,-87.627006
9,"MPhil/PhD in Digital Humanities Research, King's College London",Digital Humanities Research,King's College London,https://www.kcl.ac.uk/artshums/depts/ddh/study/pgt/madh/index.aspx,MPhil/PhD,Graduate,1991,,,,,,None specified,None specified,Yes,arts and humanities,School,United Kingdom,51.511486,-0.115997
10,"MA in Digital Humanities, King's College London",Digital Humanities,King's College London,https://www.kcl.ac.uk/prospectus/research/digital-humanities,MA,Graduate,1991,12,,2,10,21,Dissertation,Yes,Yes,arts and humanities,School,United Kingdom,51.511486,-0.115997
11,"BA in Digital Culture, King's College London",Digital Culture,King's College London,https://www.kcl.ac.uk/prospectus/undergraduate/index/name/digital-culture/alpha/D/header_search/,BA,Undergraduate,2015,19,,13,6,31,Dissertation,None specified,Yes,arts and humanities,School,United Kingdom,51.511486,-0.115997
